,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
111,2023-10-03,16,111.0,111.0,374.5594
112,2023-10-03,17,111.0,111.0,432.4505
113,2023-10-03,18,111.0,111.0,271.6651
114,2023-10-03,19,110.0,110.0,75.9776
115,2023-10-03,20,5.0,5.0,-412.90912
116,2023-10-03,21,5.0,5.0,-251.0174
117,2023-10-03,22,17.99,17.99,-33.7831
118,2023-10-03,23,107.35,107.35,145.44359
119,2023-10-03,24,56.0,56.0,-0.9355
120,2023-10-03,25,-35.0,-35.0,-427.3944
121,2023-10-03,26,0.0,0.0,-306.797
122,2023-10-03,27,43.18,43.18,-154.25
123,2023-10-03,28,43.18,43.18,-253.3892
124,2023-10-03,29,-34.1,-34.1,-414.8244
125,2023-10-03,30,-71.5,-71.5,-611.6515
126,2023-10-03,31,-74.0,-74.0,-1026.5815
127,2023-10-03,32,4.63,4.63,-556.9544
128,2023-10-03,33,43.7,43.7,-463.9537
129,2023-10-03,34,47.06,47.06,-224.8297
130,2023-10-03,35,106.0,106.0,112.5657
131,2023-10-03,36,106.0,106.0,174.56702
132,2023-10-03,37,106.0,106.0,184.5772
133,2023-10-03,38,107.0,107.0,675.6338
134,2023-10-03,39,109.9,109.9,817.0282
135,2023-10-03,40,105.85,105.85,440.52982
136,2023-10-03,41,104.5,104.5,393.6452
137,2023-10-03,42,104.25,104.25,31.167
138,2023-10-03,43,36.1,36.1,-127.30311
139,2023-10-03,44,35.5,35.5,-367.8184
140,2023-10-03,45,59.01,59.01,-119.1681
141,2023-10-03,46,35.5,35.5,-400.0562
142,2023-10-03,47,44.52,44.52,-434.6566
143,2023-10-03,48,41.16,41.16,-848.8914
144,2023-10-04,1,5.9301,5.9301,-485.7974
145,2023-10-04,2,5.0499,5.0499,-541.4881
146,2023-10-04,3,4.2101,4.2101,-388.8168
147,2023-10-04,4,4.2101,4.2101,-401.0187
148,2023-10-04,5,4.21013,4.21013,-368.9299
149,2023-10-04,6,5.08,5.08,-297.9007
150,2023-10-04,7,97.22568,97.22568,10.8599
151,2023-10-04,8,97.5,97.5,70.8454
152,2023-10-04,9,99.0,99.0,308.59708
153,2023-10-04,10,97.5,97.5,56.6497
154,2023-10-04,11,97.5,97.5,61.96
155,2023-10-04,12,97.0,97.0,14.16441
156,2023-10-04,13,99.0,99.0,263.0481
157,2023-10-04,14,99.0,99.0,489.2976
158,2023-10-04,15,97.0,97.0,97.675
159,2023-10-04,16,99.0,99.0,330.3389
160,2023-10-04,17,36.01,36.01,-139.7058
161,2023-10-04,18,54.63,54.63,-39.2637
162,2023-10-04,19,5.0,5.0,-333.0032
163,2023-10-04,20,25.1,25.1,-241.23529
164,2023-10-04,21,99.0,99.0,294.27878
165,2023-10-04,22,99.0,99.0,343.9153
166,2023-10-04,23,97.5,97.5,121.1058
167,2023-10-04,24,25.15,25.15,-70.2672
168,2023-10-04,25,23.2,23.2,-178.15099
169,2023-10-04,26,97.5,97.5,1.8607
170,2023-10-04,27,97.5,97.5,16.4713
171,2023-10-04,28,23.2,23.2,-25.19768
172,2023-10-04,29,99.0,99.0,329.3698
173,2023-10-04,30,99.0,99.0,389.9197
174,2023-10-04,31,118.0,118.0,699.141
175,2023-10-04,32,118.0,118.0,531.3194
176,2023-10-04,33,118.0,118.0,549.0513
177,2023-10-04,34,108.9,108.9,386.1182
178,2023-10-04,35,82.06,82.06,1.4348
179,2023-10-04,36,54.63,54.63,-60.07931
180,2023-10-04,37,110.39,110.39,126.4274
181,2023-10-04,38,113.28,113.28,208.7695
182,2023-10-04,39,46.05,46.05,-63.8307
183,2023-10-04,40,46.05,46.05,-167.44609
184,2023-10-04,41,46.05,46.05,-162.6032
185,2023-10-04,42,46.05,46.05,-424.52585
186,2023-10-04,43,47.0,47.0,-4.77909
187,2023-10-04,44,108.9,108.9,17.4035
188,2023-10-04,45,47.0,47.0,-41.6626
189,2023-10-04,46,76.63,76.63,73.18159
190,2023-10-04,47,47.0,47.0,-105.32919
191,2023-10-04,48,47.0,47.0,-26.7471
192,2023-10-05,1,62.66,62.66,-114.458
193,2023-10-05,2,59.49,59.49,-238.502
194,2023-10-05,3,51.24,51.24,-538.6452
195,2023-10-05,4,51.24,51.24,-503.5748
196,2023-10-05,5,43.86,43.86,-738.2609
197,2023-10-05,6,44.06,44.06,-651.6734
198,2023-10-05,7,47.29013,47.29013,-804.1257
