,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
1787,2023-11-07,10,60.53,60.53,-337.2003
1788,2023-11-07,11,82.04715,82.04715,-75.9202
1789,2023-11-07,12,56.04,56.04,-348.1716
1790,2023-11-07,13,56.09,56.09,-42.0039
1791,2023-11-07,14,149.5,149.5,7.32188
1792,2023-11-07,15,129.09,129.09,166.3197
1793,2023-11-07,16,131.1,131.1,345.0771
1794,2023-11-07,17,56.16,56.16,-24.6693
1795,2023-11-07,18,56.16,56.16,-104.34589
1796,2023-11-07,19,60.0,60.0,-31.72121
1797,2023-11-07,20,120.0,120.0,19.6368
1798,2023-11-07,21,120.0,120.0,23.9892
1799,2023-11-07,22,80.0,80.0,9.1425
1800,2023-11-07,23,120.0,120.0,76.6081
1801,2023-11-07,24,60.0,60.0,-32.99481
1802,2023-11-07,25,60.0,60.0,-35.1799
1803,2023-11-07,26,140.0,140.0,149.5922
1804,2023-11-07,27,119.5,119.5,126.8116
1805,2023-11-07,28,140.0,140.0,137.6742
1806,2023-11-07,29,144.9,144.9,144.76208
1807,2023-11-07,30,148.0,148.0,257.8953
1808,2023-11-07,31,61.0,61.0,-137.9071
1809,2023-11-07,32,144.9,144.9,97.12274
1810,2023-11-07,33,144.9,144.9,99.6666
1811,2023-11-07,34,155.0,155.0,137.599
1812,2023-11-07,35,129.73,129.73,121.4928
1813,2023-11-07,36,131.37288,131.37288,147.4161
1814,2023-11-07,37,63.3,63.3,-13.2166
1815,2023-11-07,38,63.7,63.7,-127.5583
1816,2023-11-07,39,157.9,157.9,127.2
1817,2023-11-07,40,157.9,157.9,233.1868
1818,2023-11-07,41,157.9,157.9,453.7112
1819,2023-11-07,42,149.0,149.0,293.81152
1820,2023-11-07,43,120.0,120.0,193.4549
1821,2023-11-07,44,128.0,128.0,122.69591
1822,2023-11-07,45,64.2,64.2,-120.71781
1823,2023-11-07,46,130.0,130.0,69.0469
1824,2023-11-07,47,99.39,99.39,280.2775
1825,2023-11-07,48,97.88,97.88,164.2441
1826,2023-11-08,1,70.13,70.13,-157.6054
1827,2023-11-08,2,68.0101,68.0101,-283.9628
1828,2023-11-08,3,140.0,140.0,127.2861
1829,2023-11-08,4,140.0,140.0,122.9193
1830,2023-11-08,5,140.0,140.0,556.9984
1831,2023-11-08,6,119.5,119.5,370.9241
1832,2023-11-08,7,117.95,117.95,127.20891
1833,2023-11-08,8,140.0,140.0,46.78699
1834,2023-11-08,9,140.0,140.0,12.77771
1835,2023-11-08,10,140.0,140.0,154.0612
1836,2023-11-08,11,117.95,117.95,257.4424
1837,2023-11-08,12,81.3902,81.3902,166.958
1838,2023-11-08,13,106.84,106.84,300.9266
1839,2023-11-08,14,107.47,107.47,373.6344
1840,2023-11-08,15,78.33,78.33,-214.80675
1841,2023-11-08,16,105.05,105.05,3.6433
1842,2023-11-08,17,42.8931,42.8931,-264.73624
1843,2023-11-08,18,62.68,62.68,-27.6084
1844,2023-11-08,19,26.35055,26.35055,-98.43519
1845,2023-11-08,20,120.0,120.0,191.224
1846,2023-11-08,21,121.0,121.0,525.1864
1847,2023-11-08,22,121.0,121.0,475.6139
1848,2023-11-08,23,120.0,120.0,509.4469
1849,2023-11-08,24,119.5,119.5,313.8545
1850,2023-11-08,25,66.06,66.06,-23.8628
1851,2023-11-08,26,66.06,66.06,-5.1278
1852,2023-11-08,27,1.0,1.0,-163.5608
1853,2023-11-08,28,10.0,10.0,-131.0419
1854,2023-11-08,29,114.69,114.69,132.6146
1855,2023-11-08,30,11.0,11.0,-178.0414
1856,2023-11-08,31,90.47,90.47,389.7244
1857,2023-11-08,32,114.74,114.74,656.6558
1858,2023-11-08,33,134.0,134.0,676.8886
1859,2023-11-08,34,155.0,155.0,1088.992
1860,2023-11-08,35,158.0,158.0,576.6338
1861,2023-11-08,36,158.0,158.0,448.667
1862,2023-11-08,37,77.0,77.0,-8.472
1863,2023-11-08,38,66.06,66.06,-50.1702
1864,2023-11-08,39,66.06,66.06,-18.4534
1865,2023-11-08,40,37.0,37.0,-128.8835
1866,2023-11-08,41,135.0,135.0,102.86549
1867,2023-11-08,42,77.0,77.0,-18.7831
1868,2023-11-08,43,135.0,135.0,216.6609
1869,2023-11-08,44,120.0,120.0,7.0253
1870,2023-11-08,45,130.0,130.0,142.1432
1871,2023-11-08,46,130.0,130.0,125.97969
1872,2023-11-08,47,65.0,65.0,-8.61779
1873,2023-11-08,48,37.15,37.15,-462.02118
1874,2023-11-09,1,37.15,37.15,-377.4739
1875,2023-11-09,2,37.25,37.25,-164.4899
1876,2023-11-09,3,55.0,55.0,-12.9104
1877,2023-11-09,4,155.0,155.0,173.4973
1878,2023-11-09,5,155.0,155.0,121.0413
1879,2023-11-09,6,51.09,51.09,-29.8518
1880,2023-11-09,7,62.8101,62.8101,-183.6657
1881,2023-11-09,8,51.34,51.34,-244.3092
1882,2023-11-09,9,1.01,1.01,-404.3596
1883,2023-11-09,10,1.0,1.0,-431.41388
1884,2023-11-09,11,15.0,15.0,-591.776
1885,2023-11-09,12,15.0,15.0,-751.7558
1886,2023-11-09,13,157.0,157.0,430.8796
1887,2023-11-09,14,155.0,155.0,369.58832
1888,2023-11-09,15,120.0,120.0,90.4423
1889,2023-11-09,16,120.0,120.0,77.2355
1890,2023-11-09,17,50.0,50.0,-195.38199
1891,2023-11-09,18,50.0,50.0,-350.94778
1892,2023-11-09,19,50.0,50.0,-618.9547
1893,2023-11-09,20,50.6,50.6,-532.7734
1894,2023-11-09,21,80.0,80.0,0.7424
1895,2023-11-09,22,56.5,56.5,-308.34256
1896,2023-11-09,23,56.5,56.5,-228.35263
1897,2023-11-09,24,56.51,56.51,-243.9676
1898,2023-11-09,25,56.51,56.51,-125.2169
1899,2023-11-09,26,56.5,56.5,-433.7874
1900,2023-11-09,27,56.5,56.5,-543.8804
1901,2023-11-09,28,56.5,56.5,-638.7736
1902,2023-11-09,29,57.17,57.17,-487.2097
1903,2023-11-09,30,58.26,58.26,-67.17241
1904,2023-11-09,31,100.0,100.0,6.8761
1905,2023-11-09,32,58.31,58.31,-1.4732
1906,2023-11-09,33,145.0,145.0,141.25441
1907,2023-11-09,34,140.0,140.0,221.5163
1908,2023-11-09,35,155.0,155.0,357.6157
1909,2023-11-09,36,140.0,140.0,120.2172
1910,2023-11-09,37,119.5,119.5,30.0595
1911,2023-11-09,38,143.0,143.0,367.1088
1912,2023-11-09,39,140.0,140.0,261.72
1913,2023-11-09,40,140.0,140.0,294.3185
1914,2023-11-09,41,128.59,128.59,80.2512
1915,2023-11-09,42,140.0,140.0,222.9567
1916,2023-11-09,43,61.0,61.0,-39.4408
1917,2023-11-09,44,125.0,125.0,38.79691
1918,2023-11-09,45,144.0,144.0,208.5456
1919,2023-11-09,46,125.0,125.0,129.336
1920,2023-11-09,47,58.5,58.5,-32.3654
1921,2023-11-09,48,1.0,1.0,-118.72652
1922,2023-11-10,1,1.0,1.0,-302.00192
1923,2023-11-10,2,5.0,5.0,-49.9412
1924,2023-11-10,3,4.99,4.99,-197.6074
1925,2023-11-10,4,5.0,5.0,-87.62301
1926,2023-11-10,5,64.06,64.06,8.0226
1927,2023-11-10,6,4.99,4.99,-31.73091
1928,2023-11-10,7,1.0,1.0,-183.5375
1929,2023-11-10,8,1.0,1.0,-154.7201
1930,2023-11-10,9,1.0,1.0,-132.65012
1931,2023-11-10,10,4.99,4.99,-72.33131
1932,2023-11-10,11,1.01,1.01,-124.97701
1933,2023-11-10,12,32.0,32.0,-45.675
1934,2023-11-10,13,56.75,56.75,-121.32339
1935,2023-11-10,14,55.15,55.15,-172.4616
1936,2023-11-10,15,55.25,55.25,-169.6838
1937,2023-11-10,16,125.5,125.5,107.001
1938,2023-11-10,17,139.0,139.0,221.8179
1939,2023-11-10,18,58.0,58.0,-21.5667
1940,2023-11-10,19,138.0,138.0,130.3628
1941,2023-11-10,20,125.5,125.5,110.7747
1942,2023-11-10,21,125.5,125.5,46.2435
1943,2023-11-10,22,125.0,125.0,77.6283
1944,2023-11-10,23,125.0,125.0,119.68149
1945,2023-11-10,24,58.58,58.58,-75.61681
1946,2023-11-10,25,59.17,59.17,-83.925
1947,2023-11-10,26,120.0,120.0,4.3914
1948,2023-11-10,27,80.0,80.0,-3.5078
1949,2023-11-10,28,124.0,124.0,17.24919
1950,2023-11-10,29,60.5,60.5,-33.23709
1951,2023-11-10,30,60.5,60.5,-90.7885
1952,2023-11-10,31,60.0,60.0,-247.6237
1953,2023-11-10,32,61.0,61.0,-2.9262
1954,2023-11-10,33,60.5,60.5,-207.1645
1955,2023-11-10,34,125.0,125.0,87.0029
1956,2023-11-10,35,125.0,125.0,81.1204
1957,2023-11-10,36,61.2,61.2,-111.2932
1958,2023-11-10,37,61.5,61.5,-17.41229
1959,2023-11-10,38,125.0,125.0,69.4338
1960,2023-11-10,39,61.2,61.2,-218.4334
1961,2023-11-10,40,61.2,61.2,-266.6848
1962,2023-11-10,41,135.0,135.0,193.8397
1963,2023-11-10,42,124.0,124.0,7.8418
1964,2023-11-10,43,61.52,61.52,-346.35135
1965,2023-11-10,44,61.15,61.15,-789.2493
1966,2023-11-10,45,20.0,20.0,-550.7254
1967,2023-11-10,46,51.0,51.0,-297.4914
1968,2023-11-10,47,51.0,51.0,-108.6937
1969,2023-11-10,48,127.0,127.0,67.7415
1970,2023-11-11,1,117.961,117.961,29.2842
1971,2023-11-11,2,117.5,117.5,43.1493
1972,2023-11-11,3,70.76,70.76,-69.6436
1973,2023-11-11,4,1.0,1.0,-338.24063
1974,2023-11-11,5,1.0,1.0,-397.3062
1975,2023-11-11,6,3.0,3.0,-452.0453
1976,2023-11-11,7,3.0,3.0,-90.8913
1977,2023-11-11,8,4.99,4.99,-265.82208
1978,2023-11-11,9,3.0,3.0,-390.9699
1979,2023-11-11,10,5.0,5.0,-129.07259
1980,2023-11-11,11,5.0,5.0,-79.8713
1981,2023-11-11,12,5.0,5.0,-30.0416
1982,2023-11-11,13,5.0,5.0,-86.1268
1983,2023-11-11,14,58.15,58.15,21.187
1984,2023-11-11,15,144.0,144.0,21.5591
1985,2023-11-11,16,118.5,118.5,109.6145
1986,2023-11-11,17,62.1,62.1,-29.0125
1987,2023-11-11,18,118.5,118.5,42.0044
1988,2023-11-11,19,118.5,118.5,10.59201
1989,2023-11-11,20,62.1,62.1,-227.8694
1990,2023-11-11,21,62.1,62.1,-359.19778
1991,2023-11-11,22,62.1,62.1,-309.9313
1992,2023-11-11,23,62.0,62.0,-377.43222
1993,2023-11-11,24,62.1,62.1,-211.7531
1994,2023-11-11,25,62.15,62.15,-130.7374
1995,2023-11-11,26,118.5,118.5,52.6026
1996,2023-11-11,27,118.5,118.5,143.3417
1997,2023-11-11,28,118.5,118.5,149.6191
1998,2023-11-11,29,63.0,63.0,-0.9431
1999,2023-11-11,30,118.5,118.5,90.29501
2000,2023-11-11,31,150.0,150.0,378.32242
2001,2023-11-11,32,144.0,144.0,228.61829
2002,2023-11-11,33,139.0,139.0,71.8492
2003,2023-11-11,34,139.0,139.0,143.6119
2004,2023-11-11,35,139.0,139.0,112.4392
2005,2023-11-11,36,143.0,143.0,158.336
2006,2023-11-11,37,139.0,139.0,83.2223
2007,2023-11-11,38,63.33,63.33,-110.58621
2008,2023-11-11,39,63.31,63.31,-355.2803
2009,2023-11-11,40,63.5,63.5,-306.88828
2010,2023-11-11,41,124.0,124.0,55.31451
2011,2023-11-11,42,124.0,124.0,79.8529
2012,2023-11-11,43,64.0,64.0,-101.72449
2013,2023-11-11,44,70.42,70.42,-52.4289
2014,2023-11-11,45,64.1,64.1,-70.73489
2015,2023-11-11,46,64.0,64.0,-195.4347
2016,2023-11-11,47,154.28523,154.28523,70.8459
2017,2023-11-11,48,64.15,64.15,-236.1332
2018,2023-11-12,1,64.5,64.5,-50.27371
2019,2023-11-12,2,0.0,0.0,0.2621
2020,2023-11-12,3,150.0,150.0,81.81719
2021,2023-11-12,4,64.5,64.5,-56.1083
2022,2023-11-12,5,64.25,64.25,-187.32501
2023,2023-11-12,6,142.0,142.0,10.2501
2024,2023-11-12,7,135.0,135.0,33.13319
2025,2023-11-12,8,124.0,124.0,10.8597
2026,2023-11-12,9,64.25,64.25,-106.3957
2027,2023-11-12,10,64.25,64.25,-306.13562
2028,2023-11-12,11,61.15,61.15,-292.88388
2029,2023-11-12,12,61.15,61.15,-431.04678
2030,2023-11-12,13,61.2,61.2,-413.5633
2031,2023-11-12,14,64.15,64.15,-177.61731
2032,2023-11-12,15,64.15,64.15,-233.3887
2033,2023-11-12,16,63.75,63.75,-261.7654
2034,2023-11-12,17,63.0,63.0,-228.4573
2035,2023-11-12,18,64.2,64.2,-119.57621
2036,2023-11-12,19,64.2,64.2,-199.6719
2037,2023-11-12,20,65.0,65.0,-99.21819
2038,2023-11-12,21,124.0,124.0,27.0984
2039,2023-11-12,22,65.1,65.1,-35.73971
2040,2023-11-12,23,123.0,123.0,85.6666
2041,2023-11-12,24,123.0,123.0,155.375
2042,2023-11-12,25,123.0,123.0,177.7084
2043,2023-11-12,26,123.0,123.0,50.9333
2044,2023-11-12,27,65.15,65.15,-13.0552
2045,2023-11-12,28,65.22,65.22,-35.87439
2046,2023-11-12,29,146.7,146.7,243.3596
2047,2023-11-12,30,65.25,65.25,-8.8778
2048,2023-11-12,31,130.88,130.88,92.8315
2049,2023-11-12,32,66.0,66.0,-26.8709
2050,2023-11-12,33,129.75014,129.75014,1.0874
2051,2023-11-12,34,135.44,135.44,190.9978
2052,2023-11-12,35,146.7,146.7,50.74579
2053,2023-11-12,36,74.49,74.49,-0.8335
2054,2023-11-12,37,37.85272,37.85272,-106.1106
2055,2023-11-12,38,66.1,66.1,-25.146
2056,2023-11-12,39,129.0,129.0,258.7093
2057,2023-11-12,40,129.0,129.0,202.9891
2058,2023-11-12,41,129.0,129.0,140.7813
2059,2023-11-12,42,125.0,125.0,55.2184
2060,2023-11-12,43,124.0,124.0,68.44311
2061,2023-11-12,44,123.0,123.0,152.8673
2062,2023-11-12,45,122.5,122.5,60.2917
2063,2023-11-12,46,120.0,120.0,182.98041
2064,2023-11-12,47,130.0,130.0,609.6498
2065,2023-11-12,48,130.0,130.0,790.0945
2066,2023-11-13,1,142.0,142.0,983.7441
2067,2023-11-13,2,129.0,129.0,957.7741
2068,2023-11-13,3,118.0,118.0,427.8995
2069,2023-11-13,4,130.0,130.0,400.7578
2070,2023-11-13,5,117.0,117.0,329.7385
2071,2023-11-13,6,130.0,130.0,255.14592
2072,2023-11-13,7,148.0,148.0,764.2294
2073,2023-11-13,8,148.0,148.0,565.5163
2074,2023-11-13,9,117.0,117.0,264.4208
2075,2023-11-13,10,53.5,53.5,-95.2279
2076,2023-11-13,11,117.0,117.0,126.7632
2077,2023-11-13,12,1.0,1.0,-148.86159
2078,2023-11-13,13,4.99,4.99,-197.2215
2079,2023-11-13,14,0.9,0.9,-526.8565
2080,2023-11-13,15,4.99,4.99,-297.7123
2081,2023-11-13,16,61.15,61.15,-248.27245
2082,2023-11-13,17,35.0,35.0,-177.71121
2083,2023-11-13,18,67.0,67.0,-119.84961
2084,2023-11-13,19,118.0,118.0,2.3334
2085,2023-11-13,20,5.0,5.0,-230.82347
2086,2023-11-13,21,5.0,5.0,-474.45328
2087,2023-11-13,22,30.0,30.0,-340.97427
2088,2023-11-13,23,30.0,30.0,-60.2777
2089,2023-11-13,24,121.0,121.0,51.4053
2090,2023-11-13,25,126.5,126.5,141.47281
2091,2023-11-13,26,127.5,127.5,207.4637
2092,2023-11-13,27,127.5,127.5,317.09558
2093,2023-11-13,28,127.5,127.5,178.44109
2094,2023-11-13,29,62.0,62.0,-7.9893
2095,2023-11-13,30,122.0,122.0,17.8264
2096,2023-11-13,31,30.0,30.0,-469.28168
2097,2023-11-13,32,30.0,30.0,-273.5434
2098,2023-11-13,33,30.0,30.0,-450.6111
2099,2023-11-13,34,42.0,42.0,-213.68771
2100,2023-11-13,35,50.0,50.0,-168.3327
2101,2023-11-13,36,51.0,51.0,-85.0159
2102,2023-11-13,37,42.0,42.0,-179.78938
2103,2023-11-13,38,64.0,64.0,-33.63601
2104,2023-11-13,39,125.0,125.0,435.0235
2105,2023-11-13,40,120.0,120.0,409.2064
2106,2023-11-13,41,125.0,125.0,596.313
2107,2023-11-13,42,125.0,125.0,658.3035
2108,2023-11-13,43,125.0,125.0,563.4906
2109,2023-11-13,44,114.5,114.5,348.0266
2110,2023-11-13,45,64.0,64.0,-65.4066
2111,2023-11-13,46,1.0,1.0,-52.352
2112,2023-11-13,47,114.5,114.5,177.1572
2113,2023-11-13,48,57.38,57.38,41.05061
2114,2023-11-14,1,59.15,59.15,156.27312
2115,2023-11-14,2,64.19,64.19,45.07061
2116,2023-11-14,3,0.0,0.0,-122.8676
2117,2023-11-14,4,-2.55,-2.55,-255.3249
2118,2023-11-14,5,-10.64,-10.64,-419.45
2119,2023-11-14,6,-5.7204,-5.7204,-254.9464
2120,2023-11-14,7,-11.08,-11.08,-354.3064
2121,2023-11-14,8,-12.18,-12.18,-390.3735
2122,2023-11-14,9,-8.3104,-8.3104,-413.8589
2123,2023-11-14,10,-8.42,-8.42,-478.6575
2124,2023-11-14,11,27.24,27.24,-682.0705
2125,2023-11-14,12,29.61,29.61,-430.9644
2126,2023-11-14,13,64.47,64.47,-183.2374
2127,2023-11-14,14,118.0,118.0,185.8241
2128,2023-11-14,15,118.0,118.0,238.1539
2129,2023-11-14,16,114.0,114.0,145.616
2130,2023-11-14,17,118.0,118.0,333.9468
2131,2023-11-14,18,126.9,126.9,439.2833
2132,2023-11-14,19,126.9,126.9,406.2495
2133,2023-11-14,20,118.0,118.0,340.2478
2134,2023-11-14,21,118.0,118.0,470.9911
2135,2023-11-14,22,118.0,118.0,373.834
2136,2023-11-14,23,126.9,126.9,543.3464
2137,2023-11-14,24,126.9,126.9,595.597
2138,2023-11-14,25,126.9,126.9,538.6387
2139,2023-11-14,26,144.25,144.25,705.5314
2140,2023-11-14,27,118.0,118.0,374.5016
2141,2023-11-14,28,115.0,115.0,86.1582
2142,2023-11-14,29,50.33,50.33,-138.0225
2143,2023-11-14,30,49.0,49.0,-396.8985
2144,2023-11-14,31,48.6,48.6,-162.5899
2145,2023-11-14,32,123.75,123.75,25.7695
2146,2023-11-14,33,52.21,52.21,-22.1859
2147,2023-11-14,34,123.75,123.75,11.4877
2148,2023-11-14,35,60.7,60.7,-70.0209
2149,2023-11-14,36,54.0,54.0,-43.131
2150,2023-11-14,37,54.0,54.0,-37.04
2151,2023-11-14,38,123.75,123.75,126.1356
2152,2023-11-14,39,123.75,123.75,131.9825
2153,2023-11-14,40,119.66,119.66,249.543
2154,2023-11-14,41,123.75,123.75,407.066
2155,2023-11-14,42,112.0,112.0,140.8069
2156,2023-11-14,43,112.0,112.0,180.1012
2157,2023-11-14,44,172.0,172.0,633.2769
2158,2023-11-14,45,118.0,118.0,647.8926
2159,2023-11-14,46,115.9,115.9,517.306
2160,2023-11-14,47,68.11,68.11,-169.0189
2161,2023-11-14,48,68.11,68.11,-97.9297
2162,2023-11-15,1,110.0,110.0,30.63311
2163,2023-11-15,2,112.0,112.0,117.5258
2164,2023-11-15,3,112.0,112.0,295.5048
2165,2023-11-15,4,72.06,72.06,119.60091
2166,2023-11-15,5,75.69,75.69,60.07439
2167,2023-11-15,6,67.02,67.02,159.9231
2168,2023-11-15,7,53.82,53.82,-206.0334
2169,2023-11-15,8,0.0,0.0,-722.6613
2170,2023-11-15,9,0.0,0.0,-783.8568
2171,2023-11-15,10,0.0,0.0,-797.6326
2172,2023-11-15,11,70.3499,70.3499,-299.3205
2173,2023-11-15,12,112.0,112.0,79.87659
2174,2023-11-15,13,140.0,140.0,602.5957
2175,2023-11-15,14,124.0,124.0,385.2244
2176,2023-11-15,15,124.0,124.0,358.0767
2177,2023-11-15,16,122.9,122.9,302.2396
2178,2023-11-15,17,122.9,122.9,313.6324
2179,2023-11-15,18,122.9,122.9,249.9118
2180,2023-11-15,19,120.0,120.0,147.6107
2181,2023-11-15,20,120.0,120.0,79.9363
2182,2023-11-15,21,122.9,122.9,244.9926
2183,2023-11-15,22,120.0,120.0,89.7105
2184,2023-11-15,23,56.0,56.0,-173.3296
2185,2023-11-15,24,57.0,57.0,-110.9241
2186,2023-11-15,25,122.9,122.9,304.8863
2187,2023-11-15,26,122.9,122.9,329.0682
2188,2023-11-15,27,120.0,120.0,214.8799
2189,2023-11-15,28,120.0,120.0,123.3812
2190,2023-11-15,29,122.0,122.0,211.8419
2191,2023-11-15,30,122.0,122.0,156.2346
2192,2023-11-15,31,122.0,122.0,55.1677
2193,2023-11-15,32,59.0,59.0,-79.4321
2194,2023-11-15,33,59.0,59.0,-76.5618
2195,2023-11-15,34,151.0006,151.0006,162.5864
2196,2023-11-15,35,138.0,138.0,37.4973
2197,2023-11-15,36,154.0,154.0,359.9584
2198,2023-11-15,37,155.0,155.0,1031.6978
2199,2023-11-15,38,154.0,154.0,1028.3074
2200,2023-11-15,39,154.0,154.0,563.9273
2201,2023-11-15,40,154.0,154.0,463.5622
2202,2023-11-15,41,151.9,151.9,359.3934
2203,2023-11-15,42,151.9,151.9,509.1102
2204,2023-11-15,43,133.0,133.0,246.9953
2205,2023-11-15,44,127.0,127.0,140.7957
2206,2023-11-15,45,125.0,125.0,103.5806
2207,2023-11-15,46,62.05,62.05,-305.8134
2208,2023-11-15,47,62.75,62.75,-285.4371
2209,2023-11-15,48,63.1,63.1,-32.898
2210,2023-11-16,1,63.1,63.1,-48.8395
2211,2023-11-16,2,125.0,125.0,74.5466
2212,2023-11-16,3,130.0,130.0,15.85
2213,2023-11-16,4,63.12,63.12,-125.67541
2214,2023-11-16,5,63.2,63.2,-225.3594
2215,2023-11-16,6,63.5,63.5,-28.35909
2216,2023-11-16,7,130.0,130.0,78.581
2217,2023-11-16,8,130.0,130.0,12.8833
2218,2023-11-16,9,132.31,132.31,220.2028
2219,2023-11-16,10,130.0,130.0,60.3982
2220,2023-11-16,11,120.0,120.0,125.9398
2221,2023-11-16,12,143.0,143.0,78.5718
2222,2023-11-16,13,65.2,65.2,-110.78939
2223,2023-11-16,14,156.5,156.5,208.4964
2224,2023-11-16,15,149.0,149.0,172.50458
2225,2023-11-16,16,165.47,165.47,300.9037
2226,2023-11-16,17,66.1,66.1,-10.8824
2227,2023-11-16,18,165.0,165.0,152.7424
2228,2023-11-16,19,165.0,165.0,163.30699
2229,2023-11-16,20,165.0,165.0,70.5166
2230,2023-11-16,21,165.0,165.0,156.03288
2231,2023-11-16,22,179.0,179.0,126.4845
2232,2023-11-16,23,91.64,91.64,-9.3744
2233,2023-11-16,24,89.21,89.21,-34.30831
2234,2023-11-16,25,86.69,86.69,-53.90278
2235,2023-11-16,26,98.95069,98.95069,-1.96659
2236,2023-11-16,27,179.0,179.0,74.6504
2237,2023-11-16,28,68.55,68.55,-114.8132
2238,2023-11-16,29,69.0,69.0,-112.30938
2239,2023-11-16,30,70.0,70.0,-103.18881
2240,2023-11-16,31,249.0,249.0,7.27511
2241,2023-11-16,32,86.0,86.0,-2.3061
2242,2023-11-16,33,70.1,70.1,-110.42329
2243,2023-11-16,34,86.0,86.0,-9.3209
2244,2023-11-16,35,71.0,71.0,-107.0171
2245,2023-11-16,36,71.26,71.26,-143.4012
2246,2023-11-16,37,75.0,75.0,-89.6269
2247,2023-11-16,38,75.0,75.0,-118.6929
2248,2023-11-16,39,259.0,259.0,193.77899
2249,2023-11-16,40,190.0,190.0,292.11758
2250,2023-11-16,41,165.0,165.0,200.5502
2251,2023-11-16,42,71.55,71.55,-136.1099
2252,2023-11-16,43,153.4,153.4,137.5448
2253,2023-11-16,44,73.2,73.2,-152.7907
2254,2023-11-16,45,73.2,73.2,-105.5659
2255,2023-11-16,46,120.85471,120.85471,7.0456
2256,2023-11-16,47,73.4,73.4,-99.36309
2257,2023-11-16,48,73.41,73.41,-293.364
2258,2023-11-17,1,74.25,74.25,-211.49379
2259,2023-11-17,2,74.25,74.25,-370.28247
2260,2023-11-17,3,74.3,74.3,-526.05817
2261,2023-11-17,4,74.5,74.5,-410.558
2262,2023-11-17,5,74.5,74.5,-209.14081
2263,2023-11-17,6,74.5,74.5,-260.12582
2264,2023-11-17,7,74.5,74.5,-199.1653
2265,2023-11-17,8,74.52,74.52,-239.8026
2266,2023-11-17,9,74.6,74.6,-71.20911
2267,2023-11-17,10,80.22,80.22,5.6327
2268,2023-11-17,11,155.0,155.0,85.707
2269,2023-11-17,12,74.55,74.55,-365.2672
2270,2023-11-17,13,74.65,74.65,-26.75181
2271,2023-11-17,14,125.16,125.16,436.1314
2272,2023-11-17,15,148.37962,148.37962,15.52041
2273,2023-11-17,16,150.5,150.5,90.09401
2274,2023-11-17,17,153.01984,153.01984,18.1763
2275,2023-11-17,18,74.96,74.96,-86.054
2276,2023-11-17,19,148.9,148.9,39.2457
2277,2023-11-17,20,71.45,71.45,-114.2863
2278,2023-11-17,21,75.02,75.02,-129.46889
2279,2023-11-17,22,75.03,75.03,-172.41039
2280,2023-11-17,23,75.1,75.1,-315.0575
2281,2023-11-17,24,75.1,75.1,-204.4064
2282,2023-11-17,25,90.93,90.93,-84.45
2283,2023-11-17,26,75.0,75.0,-48.7333
2284,2023-11-17,27,75.0,75.0,-322.3303
2285,2023-11-17,28,75.27,75.27,-59.8801
2286,2023-11-17,29,163.0,163.0,418.6992
2287,2023-11-17,30,149.2,149.2,326.6559
2288,2023-11-17,31,147.9,147.9,126.43341
2289,2023-11-17,32,147.8,147.8,77.45579
2290,2023-11-17,33,150.0,150.0,106.40429
2291,2023-11-17,34,150.0,150.0,19.534
2292,2023-11-17,35,77.28,77.28,-24.1439
2293,2023-11-17,36,76.0,76.0,-188.5336
2294,2023-11-17,37,76.0,76.0,-134.558
2295,2023-11-17,38,75.48,75.48,-350.9622
2296,2023-11-17,39,76.12,76.12,-250.1031
2297,2023-11-17,40,76.0,76.0,-378.2228
2298,2023-11-17,41,75.48,75.48,-227.1718
2299,2023-11-17,42,45.0,45.0,-280.9883
2300,2023-11-17,43,76.15,76.15,-53.38219
2301,2023-11-17,44,76.6,76.6,-8.1394
2302,2023-11-17,45,139.0,139.0,213.6347
2303,2023-11-17,46,139.0,139.0,105.8111
2304,2023-11-17,47,76.15,76.15,-276.1995
2305,2023-11-17,48,76.15,76.15,-192.2774
2306,2023-11-18,1,76.15,76.15,-216.7151
2307,2023-11-18,2,76.15,76.15,-83.8244
2308,2023-11-18,3,67.43,67.43,-251.8227
2309,2023-11-18,4,67.09,67.09,-242.8093
2310,2023-11-18,5,124.0,124.0,65.1047
2311,2023-11-18,6,64.68,64.68,-65.3174
2312,2023-11-18,7,135.0,135.0,427.6075
2313,2023-11-18,8,33.76068,33.76068,-99.8
2314,2023-11-18,9,124.0,124.0,19.1342
2315,2023-11-18,10,5.0,5.0,-53.092
2316,2023-11-18,11,124.0,124.0,45.3734
2317,2023-11-18,12,0.75,0.75,-105.564
2318,2023-11-18,13,124.0,124.0,91.4184
2319,2023-11-18,14,124.0,124.0,170.67921
2320,2023-11-18,15,129.0,129.0,362.3645
2321,2023-11-18,16,129.0,129.0,384.4051
2322,2023-11-18,17,115.0,115.0,49.1712
2323,2023-11-18,18,120.0,120.0,108.09551
2324,2023-11-18,19,87.25,87.25,-241.36835
2325,2023-11-18,20,97.31,97.31,-107.39948
2326,2023-11-18,21,128.0,128.0,13.1575
2327,2023-11-18,22,105.69,105.69,-136.26613
2328,2023-11-18,23,109.11,109.11,-223.54839
2329,2023-11-18,24,99.17,99.17,-229.49692
2330,2023-11-18,25,96.27,96.27,-17.10233
2331,2023-11-18,26,128.0,128.0,169.9548
2332,2023-11-18,27,131.0,131.0,192.7958
2333,2023-11-18,28,128.0,128.0,46.7255
